站号,站名,观测时间,气温4次平均,最高气温,最低气温,20-20降水量,本站气压4次平均,相对湿度4次平均,最小相对湿度,10分钟风速4次平均,日最大风风速,日照时数合计
53798,邢台,2014-01-30,4.2,9.7,0.5,0.0,1007.8,57,25,1.5,3.2,4.3
53698,石家庄,2014-01-31,-0.4,3.6,-3.1,0.0,1005.4,57,41,0.8,1.7,0.0
53798,邢台,2014-01-31,2.6,4.9,0.3,0.0,1007.9,49,39,1.9,3.4,0.0
53698,石家庄,2014-02-01,1.6,6.3,-3.5,0.0,1003.7,65,47,1.0,1.7,0.0
53798,邢台,2014-02-01,3.4,7.6,0.7,0.0,1007.0,63,48,1.6,3.5,0.0
53698,石家庄,2014-02-02,-0.9,2.4,-5.2,0.0,1001.7,91,77,1.0,1.9,0.0
53798,邢台,2014-02-02,1.6,4.4,0.0,0.0,1004.2,86,59,1.4,3.2,0.0
53698,石家庄,2014-02-03,0.0,3.2,-3.1,0.0,1013.4,60,38,1.3,2.4,7.1
53798,邢台,2014-02-03,1.1,4.5,-0.6,0.0,1016.5,56,31,1.2,3.3,6.3
53698,石家庄,2014-02-04,-3.6,0.6,-7.5,0.0,1016.6,51,25,0.6,1.5,0.0
53798,邢台,2014-02-04,-1.2,1.9,-4.6,0.0,1019.7,53,33,1.3,2.3,1.0
53698,石家庄,2014-02-05,-3.2,-1.3,-4.2,1.4,1015.8,87,30,0.5,2.2,0.0
53798,邢台,2014-02-05,-2.4,0.2,-3.0,10.1,1019.1,88,52,1.2,1.9,0.0
53698,石家庄,2014-02-06,-2.3,0.2,-4.9,0.2,1016.5,81,63,0.6,1.6,0.0
53798,邢台,2014-02-06,-1.9,-0.8,-3.5,2.1,1019.7,84,77,0.9,2.3,0.0
53698,石家庄,2014-02-07,-2.1,-0.5,-3.4,2.3,1013.8,89,62,0.9,1.5,0.0
53798,邢台,2014-02-07,-1.3,0.1,-2.5,2.0,1017.2,81,72,1.0,2.1,0.0
53698,石家庄,2014-02-08,-0.7,3.0,-3.0,0.0,1014.0,73,32,1.1,2.7,0.0
53798,邢台,2014-02-08,-0.6,2.0,-1.9,0.0,1017.2,77,61,1.6,2.7,0.0
53698,石家庄,2014-02-09,-4.5,-0.6,-7.1,0.0,1023.0,39,29,1.3,2.0,7.5
53798,邢台,2014-02-09,-3.5,-0.2,-6.4,0.0,1026.3,41,28,2.4,3.6,7.8
53698,石家庄,2014-02-10,-4.6,0.0,-8.9,0.0,1021.9,48,27,1.0,2.3,7.9
53798,邢台,2014-02-10,-5.2,0.0,-8.8,0.0,1025.8,47,26,1.4,3.0,7.7
53698,石家庄,2014-02-11,-4.3,1.3,-8.8,0.0,1015.4,58,38,1.1,2.1,0.0
53798,邢台,2014-02-11,-3.9,-0.1,-7.6,0.0,1019.2,57,40,1.3,2.7,0.0
53698,石家庄,2014-02-12,-2.1,2.2,-5.0,0.0,1019.1,58,42,0.9,1.8,0.0
53798,邢台,2014-02-12,-2.3,1.6,-6.2,0.0,1022.6,69,49,0.8,1.9,0.0
53698,石家庄,2014-02-13,-0.6,3.6,-5.1,0.0,1020.9,56,30,1.0,2.1,0.0
53798,邢台,2014-02-13,0.2,4.3,-3.4,0.0,1024.4,58,35,1.2,2.2,5.7
53698,石家庄,2014-02-14,0.7,7.6,-5.8,0.0,1013.1,58,33,1.5,2.4,0.0
53798,邢台,2014-02-14,1.4,6.8,-3.9,0.0,1016.9,59,42,1.9,3.1,7.2
53698,石家庄,2014-02-15,0.3,5.9,-3.7,0.0,1011.0,67,47,0.6,1.8,0.0
53798,邢台,2014-02-15,1.8,5.9,-2.4,0.0,1014.0,73,55,1.3,2.9,0.0
53698,石家庄,2014-02-16,0.7,4.0,-2.8,0.0,1015.6,71,54,0.8,1.7,0.0
53798,邢台,2014-02-16,2.3,3.9,0.2,0.0,1017.7,69,60,2.3,3.7,0.0
53698,石家庄,2014-02-17,2.3,5.2,0.4,0.0,1021.3,52,30,0.8,2.0,0.0
53798,邢台,2014-02-17,2.6,5.8,1.0,0.0,1023.7,59,42,2.7,4.3,1.7
53698,石家庄,2014-02-18,0.8,5.7,-3.9,0.0,1018.4,51,30,1.3,2.3,0.0
53798,邢台,2014-02-18,2.4,7.1,-1.1,0.0,1022.0,45,28,1.5,3.5,7.9
53698,石家庄,2014-02-19,1.7,5.3,-1.2,0.0,1015.3,52,36,1.0,1.9,0.0
53798,邢台,2014-02-19,2.3,5.4,0.0,0.0,1018.4,59,43,2.2,4.2,6.0
53698,石家庄,2014-02-20,0.9,4.2,-2.8,0.0,1016.9,70,58,1.1,2.3,0.0
53798,邢台,2014-02-20,2.5,7.1,-1.7,0.0,1020.2,71,49,1.4,2.6,0.0
53698,石家庄,2014-02-21,2.9,6.9,0.0,0.0,1014.7,63,48,1.0,1.5,0.0
53798,邢台,2014-02-21,4.4,10.4,1.1,0.0,1017.7,66,45,0.9,2.6,0.0
53698,石家庄,2014-02-22,2.3,6.3,-2.1,0.0,1016.3,67,50,1.1,1.3,0.0
53798,邢台,2014-02-22,4.4,8.3,0.3,0.0,1019.4,62,49,1.7,2.8,0.0
53698,石家庄,2014-02-23,2.3,5.0,-0.3,0.0,1017.2,71,62,1.1,1.6,0.0
53798,邢台,2014-02-23,5.5,7.4,4.3,0.0,1020.1,62,55,1.7,2.5,0.0
53698,石家庄,2014-02-24,3.2,6.3,0.9,0.0,1014.7,69,58,0.6,1.5,0.0
53798,邢台,2014-02-24,4.8,8.0,2.4,0.0,1018.0,70,55,1.1,2.6,0.0
53698,石家庄,2014-02-25,6.0,10.2,2.6,0.0,1013.0,64,50,0.8,1.7,0.0
53798,邢台,2014-02-25,8.3,14.6,4.6,0.0,1016.1,64,41,0.9,2.2,2.6
53698,石家庄,2014-02-26,7.2,12.6,2.4,1.4,1009.9,71,49,0.9,2.5,0.0
53798,邢台,2014-02-26,8.7,14.4,3.4,0.0,1012.7,75,56,1.1,3.9,0.0
53698,石家庄,2014-02-27,6.0,8.9,3.7,1.7,1015.4,55,29,1.2,2.2,2.9
53798,邢台,2014-02-27,7.1,11.9,5.6,0.9,1018.5,59,33,1.8,4.2,4.9
53698,石家庄,2014-02-28,3.9,7.5,0.4,0.0,1013.5,52,33,0.9,2.0,0.0
53798,邢台,2014-02-28,5.2,7.7,3.2,0.0,1016.8,46,31,1.2,2.5,0.0
53698,石家庄,2014-03-01,5.8,11.7,0.5,0.0,1011.6,47,19,1.2,2.8,7.0
53798,邢台,2014-03-01,6.0,11.2,1.0,0.0,1015.3,57,30,1.4,2.6,8.4
53698,石家庄,2014-03-02,8.3,15.4,-0.5,0.0,1008.6,38,13,1.7,2.8,10.0
53798,邢台,2014-03-02,8.4,15.8,1.3,0.0,1012.4,52,19,1.8,4.0,8.1
53698,石家庄,2014-03-03,5.4,10.3,2.0,0.0,1007.7,61,40,0.9,2.1,0.0
53798,邢台,2014-03-03,8.5,13.8,2.4,0.0,1010.7,60,35,1.7,4.1,0.0
53698,石家庄,2014-03-04,5.8,10.4,2.1,0.0,1012.9,53,23,1.2,2.0,6.3
53798,邢台,2014-03-04,7.3,11.8,3.8,0.0,1015.8,50,24,1.8,4.7,6.3
53698,石家庄,2014-03-05,4.6,8.1,1.0,0.0,1016.0,24,18,1.3,2.6,5.1
53798,邢台,2014-03-05,5.6,9.0,1.6,0.0,1018.9,36,19,1.7,2.9,5.4
53698,石家庄,2014-03-06,3.8,8.3,-0.2,0.0,1017.0,30,15,1.3,2.4,9.1
53798,邢台,2014-03-06,5.1,9.0,2.6,0.0,1020.0,31,18,1.5,3.9,5.6
53698,石家庄,2014-03-07,3.1,7.3,-1.3,0.0,1016.2,39,23,0.9,1.8,0.0
53798,邢台,2014-03-07,4.9,8.1,1.1,0.0,1019.4,38,25,0.8,2.4,1.7
53698,石家庄,2014-03-08,7.4,13.2,2.8,0.0,1010.2,41,26,1.2,2.3,6.9
53798,邢台,2014-03-08,8.0,14.3,3.5,0.0,1013.9,38,25,1.0,2.9,3.2
53698,石家庄,2014-03-09,7.7,12.9,3.0,0.0,1012.2,37,21,1.1,2.4,7.1
53798,邢台,2014-03-09,8.8,13.9,4.3,0.0,1015.0,43,31,1.9,3.3,0.0
53698,石家庄,2014-03-10,5.9,11.3,1.5,0.0,1010.2,51,29,1.1,2.1,0.0
53798,邢台,2014-03-10,9.2,15.9,3.5,0.0,1013.0,42,31,1.6,2.6,6.8
53698,石家庄,2014-03-11,8.0,15.8,1.5,0.0,1003.7,56,37,0.7,3.4,0.0
53798,邢台,2014-03-11,12.6,19.6,5.2,0.0,1006.0,45,28,1.7,4.4,7.1
53698,石家庄,2014-03-12,8.0,11.8,5.9,0.0,1012.7,43,32,1.8,3.0,0.0
53798,邢台,2014-03-12,7.8,15.1,3.6,0.0,1015.1,49,35,2.9,5.8,0.0
53698,石家庄,2014-03-13,8.8,15.9,3.4,0.0,1010.3,37,12,1.8,3.5,9.4
53798,邢台,2014-03-13,8.9,15.3,2.3,0.0,1014.2,34,10,1.5,3.3,9.8
53698,石家庄,2014-03-14,11.3,17.9,2.8,0.0,1006.8,20,12,1.6,3.6,10.0
53798,邢台,2014-03-14,12.2,18.5,3.8,0.0,1011.2,20,11,1.8,4.1,10.6
53698,石家庄,2014-03-15,17.7,27.9,4.9,0.0,998.2,21,7,1.3,3.3,9.9
53798,邢台,2014-03-15,15.7,26.8,5.4,0.0,1002.0,30,7,1.6,3.4,10.3
53698,石家庄,2014-03-16,13.3,20.2,8.8,0.0,1001.2,41,20,1.1,2.3,6.9
53798,邢台,2014-03-16,14.7,19.5,10.2,0.0,1003.4,41,30,1.9,3.8,7.5
53698,石家庄,2014-03-17,13.2,21.5,6.2,0.0,999.7,50,13,1.3,2.4,0.0
53798,邢台,2014-03-17,13.8,18.7,9.1,0.0,1002.9,47,26,1.3,3.1,1.6
53698,石家庄,2014-03-18,11.2,14.9,6.8,0.0,1009.5,45,26,1.0,2.5,2.6
53798,邢台,2014-03-18,13.0,14.4,10.3,0.0,1012.2,36,29,1.8,3.3,0.0
53698,石家庄,2014-03-19,8.4,11.8,4.7,0.0,1009.9,48,33,1.3,2.0,0.0
53798,邢台,2014-03-19,9.7,13.5,7.8,0.0,1012.7,45,34,1.6,3.5,1.4
53698,石家庄,2014-03-20,12.2,18.8,6.7,0.0,1015.6,21,12,1.9,3.6,11.1
53798,邢台,2014-03-20,12.0,18.3,6.6,0.0,1019.4,25,13,1.1,2.8,10.9
53698,石家庄,2014-03-21,15.1,21.0,9.7,0.0,1009.0,22,13,1.6,3.2,10.7
53798,邢台,2014-03-21,14.2,21.8,5.6,0.0,1013.0,28,12,1.5,3.1,10.5
53698,石家庄,2014-03-22,16.8,24.7,9.0,0.0,1004.9,23,7,1.2,3.0,9.2
53798,邢台,2014-03-22,16.0,24.5,6.4,0.0,1008.5,36,13,1.5,3.5,9.4
